"hospital_name","source","region","province","municipality","ownership","ownership_class","class","service_capability","beds","BLDG OR HOUSE NO., STREET, BRGY (as applicable)","CONTACT NOS.","E-MAIL ADDRESS","VALIDITY FROM","VALIDITY UNTIL"
DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL,Private,REGION 1,Ilocos Norte,Bacarra,Private,"",General,Level 1,"25","National Highway, Brgy. 21, Libtong","077-670-3142
077-670-7214
09495991813",bmc_1970@yahoo.com,"1/1/2025","12/31/2025"
GAOAT GENERAL HOSPITAL,Private,REGION 1,Ilocos Norte,Batac,Private,"",General,Level 1,"16","Castro St., Brgy 11 Ben-Agan","077-600-0450 /
09399129112",gaoatgeneralhospital@gmail.com,"1/1/2025","12/31/2025"
KARMELLI CLINIC & HOSPITAL,Private,REGION 1,Ilocos Norte,Laoag City,Private,"",General,Level 1,"28","Legaspi St., Brgy. 29, Sto Tomas","077-772-2292 / 2752; 607-0364",karmelliclinic_hospital@yahoo.com,"1/1/2025","12/31/2025"
THE BLACK NAZARENE HOSPITAL INC.,Private,REGION 1,Ilocos Norte,San Nicolas,Private,"",General,Level 2,"48","29 Bonoan St. Barangay 2","9153030906",it.tbnhi@gmail.com,"1/1/2025","12/31/2025"
METRO VIGAN HOSPITAL,Private,REGION 1,Ilocos Sur,Bantay,Private,"",General,Level 2,"80",Roxas Dike,"0917-8431311",metroviganhospital1998@gmail.com,"1/1/2025","12/31/2025"
NORTHSIDE DOCTORS HOSPITAL,Private,REGION 1,Ilocos Sur,Bantay,Private,"",General,Level 2,"100",Guimod,"0917-1472661",northsidedochosp@yahoo.com,"1/1/2025","12/31/2025"
"PIRA HOSPITAL, INC.",Private,REGION 1,Ilocos Sur,Cabugao,Private,"",General,Level 1,"29","Singson St., Rizal","077-604-9802
09177125823",pirahospital@yahoo.com,"1/1/2025","12/31/2025"
SUERO GENERAL HOSPITAL,Private,REGION 1,Ilocos Sur,Cabugao,Private,"",General,Level 1,"34",Baclig,"077-728-5650
077-728-5295
09267692249
09178139433",suerogenhosp@yahoo.com,"1/1/2025","12/31/2025"
CANDON GENERAL HOSPITAL,Private,REGION 1,Ilocos Sur,Candon City,Private,"",General,Level 1,"25",Tablac,"077-742-6112/ 6098/6184 /
09173151975",candongeneralhospital@gmail.com,"1/1/2025","12/31/2025"
CANDON ST. MARTIN DE PORRES HOSPITAL,Private,REGION 1,Ilocos Sur,Candon City,Private,"",General,Level 1,"51","Bldg. 33, 25 De Marzo St., San Antonio","077-674-0542 / 09171096093",smphpldt@gmail.com / stmartindeporreshospital@yahoo.com,"1/1/2025","12/31/2025"
RESONABLE HOSPITAL,Private,REGION 1,Ilocos Sur,Candon City,Private,"",General,Level 1,"24","43 Madarang St., San Jose","077-742-6162
742-6461
09175131575",resonablehospital2002@gmail.com,"1/1/2025","12/31/2025"
CORPUZ CLINIC AND HOSPITAL,Private,REGION 1,Ilocos Sur,Sinait,Private,"",General,Level 1,"50","Maharlika Highway, Brgy. Namnama","077-674-0273 /
09175653740
09175133380",corpuzclinichospital@yahoo.com,"1/1/2025","12/31/2025"
STO. CRISTO MILAGROSO HOSPITAL,Private,REGION 1,Ilocos Sur,Sinait,Private,"",General,Level 1,"25","National Highway, Tapao","9171059045",stocristomilagrosohospital@gmail.com,"1/1/2025","12/31/2025"
