Unnamed: 0,Unnamed: 1,2000-05-01 00:00:00,2010-05-01 00:00:00,2015-08-01 00:00:00,2020-05-01 00:00:00,2000-2010,"2010-
2015","2015-
2020","2010-
2020",region_name
,,,,,,,,,,NCR
NATIONAL CAPITAL REGION (NCR),,9932560.0,11855975.0,12877253.0,13484462.0,1.784910169138132,1.584905989178198,0.9740276459704322,1.294308599891214,NCR
,,,,,,,,,,NCR
CITY OF MANILA,,1581082.0,1652171.0,1780148.0,1846513.0,0.4405342316080807,1.4299029742834701,0.7729958433543072,1.1173713333074486,NCR
CITY OF MANDALUYONG,,278474.0,328699.0,386276.0,425758.0,1.6710781995184387,3.1193277282283383,2.0684461800717813,2.618867051068441,NCR
CITY OF MARIKINA,,391170.0,424150.0,450741.0,456059.0,0.812287185914129,1.1638684556176004,0.2470592464416166,0.7273872218488631,NCR
CITY OF PASIG,,505058.0,669773.0,755300.0,803159.0,2.8612800995184706,2.313333304950005,1.3008817835238773,1.831211802379884,NCR
QUEZON CITY,,2173831.0,2761720.0,2936116.0,2960048.0,2.421160824704316,1.1721126998782916,0.1709252015392959,0.6953550008870213,NCR
CITY OF SAN JUAN,,117680.0,121430.0,122180.0,126347.0,0.3140090763988468,0.11724551865739397,0.7080223064487079,0.3974028232103022,NCR
CITY OF CALOOCAN,,1177604.0,1489040.0,1583978.0,1661584.0,2.3729288174340724,1.1831616514016652,1.0113429844181177,1.101519605227419,NCR
CITY OF MALABON,,338855.0,353337.0,365525.0,380522.0,0.4191466681149336,0.6474480578630093,0.8494899397731182,0.7433577536477998,NCR
CITY OF NAVOTAS,,230403.0,249131.0,249463.0,247543.0,0.7841193906270139,0.025346639670953408,-0.16240979986245074,-0.063872660336739,NCR
CITY OF VALENZUELA,,485433.0,575356.0,620422.0,714978.0,1.7130536442392597,1.4454345619131947,3.0291774596848287,2.194577923008789,NCR
CITY OF LAS PIÑAS,,472780.0,552573.0,588894.0,606293.0,1.5709108788380721,1.2188455505968143,0.6144312664406515,0.9313263345789746,NCR
CITY OF MAKATI,,471379.0,529039.0,582602.0,629616.0,1.1600420377209764,1.8522622013960044,1.646030130174525,1.7542597268729532,NCR
CITY OF MUNTINLUPA,,379310.0,459941.0,504509.0,543445.0,1.9450631074493074,1.7756388237063492,1.5762787803685896,1.6809036138097255,NCR
CITY OF PARAÑAQUE,,449811.0,588126.0,665822.0,689992.0,2.7158948301042374,2.389393458388045,0.7529668734156392,1.6088814145032382,NCR
PASAY CITY,,354908.0,392869.0,416522.0,440656.0,1.0207946375077492,1.1187780542521342,1.1919885283991238,1.1535429157309318,NCR
PATEROS,,57407.0,64147.0,63840.0,65227.0,1.1156806370351324,-0.09125346761412745,0.4531934132450788,0.16696380419196633,NCR
CITY OF TAGUIG,,467375.0,644473.0,804915.0,886722.0,3.2633673811215846,4.32125447699363,2.057192263904173,3.2397382102033134,NCR
,,,,,,,,,,NCR
,,,,,,,,,,NCR
Sources:,,,,,,,,,,NCR
"Philippine Statistics Authority, 2000 Census of Population and Housing",,,,,,,,,,NCR
"Philippine Statistics Authority, 2010 Census of Population and Housing",,,,,,,,,,NCR
"Philippine Statistics Authority, 2015 Census of Population",,,,,,,,,,NCR
"Philippine Statistics Authority, 2020 Census of Population and Housing",,,,,,,,,,NCR
,,,,,,,,,,NCR
,,,,,,,,,,NCR
,,,,,,,,,,NCR
,,,,,,,,,,NCR
,,,,,,,,,,NCR
,,,,,,,,,,NCR
,,,,,,,,,,NCR
,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,,,,,NCR
,,,,,,,,,,CAR
CORDILLERA ADMINISTRATIVE REGION (CAR),,1365412.0,1616867.0,1722006.0,1797660.0,1.7037667342972629,1.206112390731806,0.9086284965877489,1.0647126007915064,CAR
,,,,,,,,,,CAR
ABRA,,209491.0,234733.0,241160.0,250985.0,1.1435452002208857,0.5153667015985075,0.8436184235355526,0.6711371061344673,CAR
BANGUED (Capital),,38965.0,43936.0,48163.0,50382.0,1.2072740899970125,1.7634299362944583,0.9520917313567967,1.3772733221326883,CAR
BOLINEY,,3340.0,4063.0,3573.0,4551.0,1.9777381303217378,-2.416026329593457,5.221591639000156,1.1397686487826686,CAR
BUCAY,,14881.0,17126.0,17115.0,17953.0,1.4142633435770158,-0.012226269578485827,1.0107054808097926,0.47231918642276494,CAR
BUCLOC,,2109.0,2176.0,2501.0,2395.0,0.31306202088174917,2.684452905796819,-0.9069405670345532,0.9627665521233286,CAR
DAGUIOMAN,,1748.0,1715.0,2088.0,2019.0,-0.19030627692872004,3.8160390963591473,-0.7044568838165066,1.6439184608463275,CAR
DANGLAS,,4144.0,4734.0,4192.0,4074.0,1.3392497730228436,-2.2873694678113288,-0.5988744635547216,-1.4890216570759285,CAR
DOLORES,,9949.0,11499.0,11315.0,11512.0,1.4576083876527646,-0.306502236105588,0.3637812381923178,0.011290303314615002,CAR
LA PAZ,,12922.0,14882.0,15437.0,16493.0,1.4214458637670901,0.6992215718229167,1.401758006267606,1.0322837550774233,CAR
LACUB,,2782.0,2977.0,3403.0,3612.0,0.6793863067464212,2.5777942192236614,1.2618166179232393,1.9506490111872,CAR
LAGANGILANG,,12073.0,13824.0,14255.0,14914.0,1.3628075824938524,0.585967214983607,0.9552725553937824,0.7612008100783108,CAR
LAGAYAN,,3894.0,4477.0,4499.0,4488.0,1.4041657518206963,0.0933292007969655,-0.05148606691258717,0.024522742740740178,CAR
LANGIDEN,,2998.0,3170.0,3198.0,3576.0,0.5591136101008587,0.1674925461588428,2.3781265080821568,1.2114219764661094,CAR
LICUAN-BAAY (LICUAN),,3812.0,4864.0,4689.0,4566.0,2.465643330529188,-0.6948768169317998,-0.5576528035412531,-0.6297256110657234,CAR
LUBA,,6203.0,6391.0,6339.0,6518.0,0.2988592289183689,-0.15535100024121062,0.5875401440648353,0.19680010062359532,CAR
MALIBCONG,,3806.0,3807.0,3428.0,4027.0,0.002625681023982196,-1.9758159174362966,3.4460171044487176,0.562919137676765,CAR
MANABO,,9643.0,10756.0,10761.0,11611.0,1.0976975183063065,0.008844672465713188,1.612219606048071,0.7671916497876463,CAR
PEÑARRUBIA,,5515.0,6544.0,6640.0,6951.0,1.7245338782214015,0.27752871315731564,0.9676112198307774,0.6046947772329059,CAR
PIDIGAN,,10183.0,11528.0,12185.0,12475.0,1.2476313356792001,1.0603683135326003,0.4960474963048078,0.7919489331268403,CAR
PILAR,,9328.0,9908.0,10223.0,10146.0,0.6047095006359138,0.5973775294135564,-0.1589282603802311,0.23745681973463828,CAR
SALLAPADAN,,5497.0,5985.0,6622.0,6389.0,0.8536960859325093,1.943381915393183,-0.7507230664627773,0.6548123614826373,CAR
SAN ISIDRO,,4293.0,4888.0,4574.0,4745.0,1.3057144640886698,-1.2555663371233927,0.7751338465461277,-0.2962344137811712,CAR
SAN JUAN,,8821.0,10546.0,9867.0,10688.0,1.8011646178645258,-1.2584913284977683,1.6956510038792283,0.13372925376153866,CAR
SAN QUINTIN,,5130.0,5233.0,5438.0,5705.0,0.1988793184237725,0.7339480642863272,1.013461170611074,0.8666068310274833,CAR
TAYUM,,12539.0,13940.0,14467.0,14869.0,1.0642291822089867,0.708669371991566,0.5782669866605472,0.6467134186899148,CAR
