,#,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF HOSPITAL,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,1,REGION 1,Ilocos Norte,Bangui,Brgy. Abaca,BANGUI DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,"077-676-1158
09171580029
09204689353",banguidh@gmail.com,1/1/2025,12/31/2025
,2,REGION 1,Ilocos Norte,Batac,"Barangay 6, San Julian, Batac, Ilocos Norte",MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,400,9171369594,mmmhmc.cao@gmail.com,1/1/2025,12/31/2025
,3,REGION 1,Ilocos Norte,Laoag City,"Brgy. 23 San Matias, P. Gomez St.",GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,Government,LGU,General,Level 2,100,772-0303,"
pho_grbasmh@yahoo.com",1/1/2025,12/31/2025
,4,REGION 1,Ilocos Norte,Laoag City,Brgy. 46 Nalbo,LAOAG CITY GENERAL HOSPITAL,Government,LGU,General,Level 1,50,"077-670-6304
09955817054
09338708355",lcgh_lc@yahoo.com,1/1/2025,12/31/2025
,5,REGION 1,Ilocos Sur,Candon City,San. Nicolas,CITY OF CANDON HOSPITAL,Government,LGU,General,Level 2,25,742-5675,"cityofcandonhospital@
yahoo.com",1/1/2025,12/31/2025
,6,REGION 1,Ilocos Sur,Candon City,Parioc Primero,ILOCOS SUR MEDICAL CENTER,Government,DOH RETAINED,General,Level 2,200,9164976615,ilocossurmedicalcenter@gmail.com,1/1/2025,12/31/2025
,7,REGION 1,Ilocos Sur,Cervantes,National Road,ILOCOS SUR DISTRICT HOSPITAL-BESSANG PASS CERVANTES,Government,LGU,General,Level 1,25,"09090775565
09481525134",bessangpassmemorialhospital@yahoo.com,1/1/2025,12/31/2025
,8,REGION 1,Ilocos Sur,Magsingal,Sta. Monica,ILOCOS SUR DISTRICT HOSPITAL-MAGSINGAL,Government,LGU,General,Level 1,25,"077-604-0577
09361982146",hospitalmagsingaldistrict@yahoo.com,1/1/2025,12/31/2025
,9,REGION 1,Ilocos Sur,Narvacan,Paratong,ILOCOS SUR DISTRICT HOSPITAL-NARVACAN,Government,LGU,General,Level 1,50,"077-604-0271
09172172115
09060215440",cisdhhospital@yahoo.com,1/1/2025,12/31/2025
,10,REGION 1,Ilocos Sur,Santa Lucia,"National Highway, San Juan",ILOCOS SUR DISTRICT HOSPITAL-STA LUCIA,Government,LGU,General,Level 1,25,"09209141967
09151633280",staluciadistricthospital@yahoo.com.ph,1/1/2025,12/31/2025
,11,REGION 1,Ilocos Sur,Sinait,"Maharlika Highway, Brgy. Curtin",ILOCOS SUR DISTRICT HOSPITAL-SINAIT,Government,LGU,General,Level 1,25,"077-728-8094 /
09175700940
09538834158",isdhsinait@gmail.com,1/1/2025,12/31/2025
,12,REGION 1,Ilocos Sur,Tagudin,Bio,ILOCOS SUR DISTRICT HOSPITAL-TAGUDIN,Government,LGU,General,Level 1,50,"077-748-7015 /
09190977594",tagudin_hospital@yahoo.com,1/1/2025,12/31/2025
,13,REGION 1,Ilocos Sur,Vigan City,Quirino Blvd. Tamag,ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG,Government,LGU,General,Level 2,100,674-1813,pho_gabriela@yahoo.com,1/1/2025,12/31/2025
,14,REGION 1,La Union,Agoo,Nazareno,LA UNION MEDICAL CENTER,Government,LGU,General,Level 2,100,"607-5938
09273298668",lumc_official02@yahoo.com,1/1/2025,12/31/2025
,15,REGION 1,La Union,Bacnotan,Poblacion,BACNOTAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,"072-607-4044 /
09171734922",bdh_bacnotan@yahoo.com,1/1/2025,12/31/2025
,16,REGION 1,La Union,Balaoan,Bungol,BALAOAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,"072-603-0280
09171899259",bldh_balaoan@gmail.com,1/1/2025,12/31/2025
,17,REGION 1,La Union,Caba,Poblacion Sur,CABA DISTRICT HOSPITAL,Government,LGU,General,Level 1,15,"09125559918
09564817840",cdh@launion.gov.ph,1/1/2025,12/31/2025
,18,REGION 1,La Union,Naguilian,Natividad,NAGUILIAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,"072-609-1853 /
09209696745",ndh@launion.gov.ph,1/1/2025,12/31/2025
,19,REGION 1,La Union,Rosario,Concepcion,ROSARIO DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,"072-687-0456/9988
09088101985",rdh@launion.gov.ph,1/1/2025,12/31/2025
,20,REGION 1,La Union,San Fernando City,"Barangay Parian, San Fernando City, La Union",ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,306,"

0912-016-0904",nmr.itrmc20@gmail.com,1/1/2025,12/31/2025
,21,REGION 1,Pangasinan,Alaminos City,"Sabaro, Poblacion",WESTERN PANGASINAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,75,075-632-3810,wpdhalaminosnew@yahoo.com,1/1/2025,12/31/2025
