,,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF FACILITY,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,1,REGION 1,Ilocos Norte,Bacarra,"National Highway, Brgy. 21, Libtong",DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL,Private,N/A,General,Level 1,25,"077-670-3142
077-670-7214
09495991813",bmc_1970@yahoo.com,1/1/2025,12/31/2025
,2,REGION 1,Ilocos Norte,Batac,"Castro St., Brgy 11 Ben-Agan",GAOAT GENERAL HOSPITAL,Private,N/A,General,Level 1,16,"077-600-0450 /
09399129112",gaoatgeneralhospital@gmail.com,1/1/2025,12/31/2025
,3,REGION 1,Ilocos Norte,Laoag City,"Legaspi St., Brgy. 29, Sto Tomas",KARMELLI CLINIC & HOSPITAL,Private,N/A,General,Level 1,28,077-772-2292 / 2752; 607-0364,karmelliclinic_hospital@yahoo.com,1/1/2025,12/31/2025
,4,REGION 1,Ilocos Norte,San Nicolas,29 Bonoan St. Barangay 2,THE BLACK NAZARENE HOSPITAL INC.,Private,N/A,General,Level 2,48,9153030906,it.tbnhi@gmail.com,1/1/2025,12/31/2025
,5,REGION 1,Ilocos Sur,Bantay,Roxas Dike,METRO VIGAN HOSPITAL,Private,N/A,General,Level 2,80,0917-8431311,metroviganhospital1998@gmail.com,1/1/2025,12/31/2025
,6,REGION 1,Ilocos Sur,Bantay,Guimod,NORTHSIDE DOCTORS HOSPITAL,Private,N/A,General,Level 2,100,0917-1472661,northsidedochosp@yahoo.com,1/1/2025,12/31/2025
,7,REGION 1,Ilocos Sur,Cabugao,"Singson St., Rizal","PIRA HOSPITAL, INC.",Private,N/A,General,Level 1,29,"077-604-9802
09177125823",pirahospital@yahoo.com,1/1/2025,12/31/2025
,8,REGION 1,Ilocos Sur,Cabugao,Baclig,SUERO GENERAL HOSPITAL,Private,N/A,General,Level 1,34,"077-728-5650
077-728-5295
09267692249
09178139433",suerogenhosp@yahoo.com,1/1/2025,12/31/2025
,9,REGION 1,Ilocos Sur,Candon City,Tablac,CANDON GENERAL HOSPITAL,Private,N/A,General,Level 1,25,"077-742-6112/ 6098/6184 /
09173151975",candongeneralhospital@gmail.com,1/1/2025,12/31/2025
,10,REGION 1,Ilocos Sur,Candon City,"Bldg. 33, 25 De Marzo St., San Antonio",CANDON ST. MARTIN DE PORRES HOSPITAL,Private,N/A,General,Level 1,51,077-674-0542 / 09171096093,smphpldt@gmail.com / stmartindeporreshospital@yahoo.com,1/1/2025,12/31/2025
